INDEX,OFNS_DESC,Latitude,Longitude,CMPLNT_FR_TM
5400452,MURDER & NON-NEGL. MANSLAUGHTER,40.638335307,-74.164483967,07:38:00
5401315,MURDER & NON-NEGL. MANSLAUGHTER,40.684069625,-73.75818135,19:17:00
5401426,MURDER & NON-NEGL. MANSLAUGHTER,40.859639663,-73.86323458,17:04:00
5401986,MURDER & NON-NEGL. MANSLAUGHTER,40.676064661,-74.00240969,03:08:00
5402445,MURDER & NON-NEGL. MANSLAUGHTER,40.81493989,-73.886592131,05:56:00
5402666,MURDER & NON-NEGL. MANSLAUGHTER,40.655621162,-73.919937382,23:51:00
5402826,MURDER & NON-NEGL. MANSLAUGHTER,40.642043072,-73.949609007,19:35:00
5405141,MURDER & NON-NEGL. MANSLAUGHTER,40.844350414,-73.815105671,01:37:00
5409117,MURDER & NON-NEGL. MANSLAUGHTER,40.5580167,-74.130417978,10:27:00
5409217,MURDER & NON-NEGL. MANSLAUGHTER,40.654952417,-73.958000222,05:25:00
5411273,MURDER & NON-NEGL. MANSLAUGHTER,40.637223031,-73.912627224,22:09:00
5412817,MURDER & NON-NEGL. MANSLAUGHTER,40.841694933,-73.911108193,22:50:00
5412965,MURDER & NON-NEGL. MANSLAUGHTER,40.868587481,-73.883311681,19:02:00
5413628,MURDER & NON-NEGL. MANSLAUGHTER,40.818413984,-73.907277131,05:05:00
5415811,MURDER & NON-NEGL. MANSLAUGHTER,40.857082062,-73.901352508,20:40:00
5417809,MURDER & NON-NEGL. MANSLAUGHTER,40.671411663,-73.881511724,02:28:00
5417922,MURDER & NON-NEGL. MANSLAUGHTER,40.689491039,-73.908018925,00:43:00
5418261,MURDER & NON-NEGL. MANSLAUGHTER,40.817755155,-73.91801901,23:15:00
5419527,MURDER & NON-NEGL. MANSLAUGHTER,40.696979876,-73.792740591,21:13:00
5424257,MURDER & NON-NEGL. MANSLAUGHTER,40.836678228,-73.915596087,10:00:00
5425507,MURDER & NON-NEGL. MANSLAUGHTER,40.578510134,-73.934900975,10:22:00
5429019,MURDER & NON-NEGL. MANSLAUGHTER,40.663996333,-73.893848712,10:30:00
5430502,MURDER & NON-NEGL. MANSLAUGHTER,40.861063085,-73.893447414,04:14:00
5431153,MURDER & NON-NEGL. MANSLAUGHTER,40.820411063,-73.893331855,22:00:00
5432943,MURDER & NON-NEGL. MANSLAUGHTER,40.699837274,-73.913089739,11:49:00
5435414,MURDER & NON-NEGL. MANSLAUGHTER,40.872845399,-73.898794425,15:08:00
5436852,MURDER & NON-NEGL. MANSLAUGHTER,40.835577917,-73.908803531,06:44:00
5439364,MURDER & NON-NEGL. MANSLAUGHTER,40.689097532,-73.925616087,15:22:00
5441944,MURDER & NON-NEGL. MANSLAUGHTER,40.686082215,-73.919233753,22:40:00
5442736,MURDER & NON-NEGL. MANSLAUGHTER,40.869588539,-73.900050398,01:03:00
5444043,MURDER & NON-NEGL. MANSLAUGHTER,40.847688805,-73.934930327,06:17:00
5444749,MURDER & NON-NEGL. MANSLAUGHTER,40.816366145,-73.867626311,22:32:00
5445507,MURDER & NON-NEGL. MANSLAUGHTER,40.801392386,-73.93271089,02:11:00
5446555,MURDER & NON-NEGL. MANSLAUGHTER,40.703499897,-73.767495386,05:45:00
5448105,MURDER & NON-NEGL. MANSLAUGHTER,40.740824511,-73.974260858,01:00:00
5448147,MURDER & NON-NEGL. MANSLAUGHTER,40.833450977,-73.943407506,00:02:00
5448702,MURDER & NON-NEGL. MANSLAUGHTER,40.727606514,-73.97781979,22:44:00
5449456,MURDER & NON-NEGL. MANSLAUGHTER,40.636818967,-74.118653127,02:34:00
5450095,MURDER & NON-NEGL. MANSLAUGHTER,40.665114176,-73.891673378,22:55:00
5452370,MURDER & NON-NEGL. MANSLAUGHTER,40.783898154,-73.950285241,01:15:00
5455142,MURDER & NON-NEGL. MANSLAUGHTER,40.816068266,-73.908552085,00:05:00
5456170,MURDER & NON-NEGL. MANSLAUGHTER,40.739095849,-73.896774703,03:03:00
5456797,MURDER & NON-NEGL. MANSLAUGHTER,40.857418359,-73.893706303,22:13:00
5462640,MURDER & NON-NEGL. MANSLAUGHTER,40.661821983,-73.996479956,09:10:00
5463518,MURDER & NON-NEGL. MANSLAUGHTER,40.811112268,-73.906344446,02:58:00
5463834,MURDER & NON-NEGL. MANSLAUGHTER,40.658196944,-73.958538808,05:50:00
5465657,MURDER & NON-NEGL. MANSLAUGHTER,40.574825477,-73.99092661,23:40:00
5466097,MURDER & NON-NEGL. MANSLAUGHTER,40.725980641,-73.990801407,14:10:00
5474949,MURDER & NON-NEGL. MANSLAUGHTER,40.796341237,-73.941199816,16:45:00
5476139,MURDER & NON-NEGL. MANSLAUGHTER,40.633486765,-74.163427185,18:11:00
5476140,MURDER & NON-NEGL. MANSLAUGHTER,40.633486765,-74.163427185,18:11:00
5476209,MURDER & NON-NEGL. MANSLAUGHTER,40.67432526,-73.888388621,17:07:00
5477953,MURDER & NON-NEGL. MANSLAUGHTER,40.812190348,-73.924206908,07:50:00
5483073,MURDER & NON-NEGL. MANSLAUGHTER,40.673567652,-73.807384888,01:50:00
5485340,MURDER & NON-NEGL. MANSLAUGHTER,40.823180032,-73.866536043,15:00:00
5486324,MURDER & NON-NEGL. MANSLAUGHTER,40.802620306,-73.951087574,20:53:00
5486379,MURDER & NON-NEGL. MANSLAUGHTER,40.766406832,-73.968377423,19:44:00
5489327,MURDER & NON-NEGL. MANSLAUGHTER,40.631766312,-73.887299705,14:39:00
